component,time_ns,iterations
trilinear_interp,116.03,100000
nn_1L_32H_silu,139.26,100000
nn_2L_128H_silu,5731.98,100000
nn_1L_32H_relu,40.35,100000
nn_2L_32H_relu,154.81,100000
nn_1L_32H_relu_avx2,55.24,100000
nn_1L_32H_relu_avx2_aligned,28.52,100000
nn_1L_32H_relu_unrolled,66.34,100000
nn_1L_32H_relu_batch6,25.94,100000
nn_1L_32H_relu_batch6_total,155.65,100000
nn_1L_32H_relu_avx2_batch6,5.62,100000
nn_1L_32H_relu_avx2_batch6_total,33.70,100000
rk_derivative,11.45,100000
ck_single_stage_trilinear,97.70,100000
ck_full_step_trilinear,331.19,100000
ck_full_step_nn_1L_32H,854.07,100000
ck_full_step_nn_2L_128H,35167.08,100000
ck_full_step_nn_1L_32H_relu,263.59,100000
ck_full_step_nn_2L_32H_relu,963.40,100000
ck_full_step_nn_relu_batch6,157.18,100000
ck_full_step_nn_relu_avx2,376.05,100000
ck_full_step_nn_relu_avx2_aligned,197.86,100000
ck_full_step_nn_relu_avx2_batch6,57.74,100000
ck_full_step_nn_relu_unrolled,643.86,100000
noop_baseline,4.39,100000
std_sqrt,3.14,100000
std_exp,6.11,100000
full_track_10steps_trilinear,2141.25,10000
full_track_10steps_nn_1L_32H,8644.19,10000
full_track_10steps_nn_2L_128H,373151.72,10000
full_track_10steps_nn_1L_32H_relu,3180.42,10000
full_track_10steps_nn_2L_32H_relu,9143.14,10000
full_track_10steps_nn_relu_batch6,1447.71,10000
full_track_10steps_nn_relu_avx2_batch6,426.57,10000
full_track_10steps_nn_relu_avx2_aligned,2015.54,10000
full_track_10steps_nn_relu_unrolled,6442.76,10000
trilinear_interp_cold,942.67,5000
nn_1L_32H_silu_cold,1228.01,5000
ck_full_step_trilinear_cold,1323.67,5000
ck_full_step_nn_1L_32H_cold,2323.60,5000
nn_1L_32H_relu_cold,861.38,5000
nn_2L_32H_relu_cold,1349.03,5000
ck_full_step_nn_1L_32H_relu_cold,1399.50,5000
ck_full_step_nn_2L_32H_relu_cold,2376.47,5000
full_track_10steps_trilinear_cold,3483.06,1000
full_track_10steps_nn_1L_32H_cold,9734.48,1000
